iter	Logloss
0	0.631565895
1	0.5814045732
2	0.5465527695
3	0.5187154572
4	0.4966617969
5	0.4799827401
6	0.4672960165
7	0.4558468193
8	0.4465226718
9	0.4388019273
10	0.4332232824
11	0.4278941345
12	0.4229142412
13	0.4195579417
14	0.4166534319
15	0.4139847118
16	0.4133658061
17	0.4108418922
18	0.4084784819
19	0.4083903861
20	0.4072143606
21	0.406461694
22	0.4045498773
23	0.4034173485
24	0.4020553635
25	0.400961597
26	0.3997550299
27	0.3987070688
28	0.3973209815
29	0.396896728
30	0.3959953802
31	0.395151682
32	0.394228357
33	0.3935387852
34	0.3935375544
35	0.3933488625
36	0.392783169
37	0.3922607314
38	0.3916130211
39	0.3912315714
40	0.3901263352
41	0.3900274359
42	0.389253943
43	0.3884655982
44	0.3880012249
45	0.3874462571
46	0.3874074915
47	0.3869659194
48	0.3869659067
49	0.3864795101
50	0.3864409576
51	0.3859968087
52	0.385663803
53	0.3856248068
54	0.3856092361
55	0.3847886823
56	0.3847757786
57	0.384216202
58	0.3840499438
59	0.3835956328
60	0.3834867071
61	0.383375913
62	0.3833529765
63	0.383045199
64	0.3826143854
65	0.3820315633
66	0.3814971263
67	0.3807432508
68	0.3807068879
69	0.3800600515
70	0.3800553519
71	0.3797848171
72	0.3797330192
73	0.3793267242
74	0.3784126761
75	0.377954558
76	0.3777163629
77	0.3773830367
78	0.3768786682
79	0.3768087453
80	0.3766995864
81	0.3763387378
82	0.3759488747
83	0.3751810729
84	0.3749562695
85	0.3743450973
86	0.3740838954
87	0.3737473884
88	0.3734668958
89	0.3726294828
90	0.3721481393
91	0.3716244685
92	0.3714436424
93	0.3710004919
94	0.370186812
95	0.3695640268
96	0.3690730192
97	0.3689462287
98	0.3678798853
99	0.3671412733
100	0.3667861989
101	0.3660779666
102	0.3651481548
103	0.364658809
104	0.3636885251
105	0.3636832248
106	0.3632389686
107	0.3630686431
108	0.3623327814
109	0.3621676815
110	0.3615648414
111	0.3611888315
112	0.3604083989
113	0.3598131227
114	0.3592983648
115	0.3590011277
116	0.3584518856
117	0.3579023455
118	0.3577460299
119	0.3570935001
120	0.3569703121
121	0.3564287175
122	0.3561966103
123	0.3559790087
124	0.3553125837
125	0.3545432387
126	0.3542844013
127	0.3539958691
128	0.3534366626
129	0.3527529533
130	0.352458049
131	0.3520111329
132	0.3515613169
133	0.3512400045
134	0.3511003781
135	0.3506853166
136	0.3500576348
137	0.3499093955
138	0.3496558053
139	0.348801735
140	0.348246867
141	0.3478319195
142	0.3476844417
143	0.3474168557
144	0.3471758571
145	0.3461903563
146	0.3458488358
147	0.345554951
148	0.3449702049
149	0.3445087296
150	0.3435387728
151	0.3432138917
152	0.3427191219
153	0.3424875259
154	0.3419829115
155	0.3417379131
156	0.3413557528
157	0.3410907738
158	0.3406645473
159	0.3405980465
160	0.3398691974
161	0.339766317
162	0.3393199931
163	0.3391401786
164	0.3389763637
165	0.3387206292
166	0.3381939394
167	0.3374248876
168	0.3369355286
169	0.3364764112
170	0.3359640886
171	0.3355896013
172	0.3353744072
173	0.3351941642
174	0.3348775442
175	0.3343613275
176	0.3343316116
177	0.3341400657
178	0.3339668745
179	0.3338289716
180	0.3335822791
181	0.3332802229
182	0.3325942711
183	0.3320394521
184	0.3318749962
185	0.3316550067
186	0.3314527064
187	0.3312609751
188	0.3308656396
189	0.3306097592
190	0.3299605775
191	0.3294973169
192	0.3292079235
193	0.3289516978
194	0.3288640657
195	0.3284852334
196	0.32815675
197	0.3281041103
198	0.3277114524
199	0.3271271642
