iter	Passed	Remaining
0	47	9477
1	126	12523
2	179	11773
3	230	11304
4	291	11369
5	352	11387
6	413	11388
7	488	11717
8	554	11777
9	611	11622
10	658	11318
11	697	10931
12	741	10664
13	782	10401
14	826	10192
15	870	10012
16	883	9510
17	930	9413
18	975	9289
19	983	8850
20	1032	8803
21	1054	8535
22	1088	8376
23	1119	8210
24	1179	8256
25	1226	8205
26	1269	8136
27	1310	8050
28	1355	7995
29	1413	8008
30	1457	7944
31	1501	7884
32	1553	7861
33	1599	7810
34	1625	7665
35	1679	7652
36	1740	7666
37	1794	7648
38	1872	7730
39	1924	7699
40	1962	7611
41	1988	7479
42	2057	7512
43	2100	7447
44	2141	7377
45	2197	7355
46	2231	7263
47	2274	7202
48	2289	7055
49	2333	7001
50	2364	6908
51	2408	6854
52	2453	6804
53	2498	6755
54	2514	6630
55	2554	6569
56	2571	6450
57	2629	6438
58	2685	6417
59	2755	6429
60	2816	6418
61	2882	6415
62	2913	6335
63	2955	6279
64	2996	6223
65	3036	6165
66	3095	6143
67	3139	6094
68	3162	6003
69	3205	5953
70	3239	5885
71	3283	5837
72	3311	5761
73	3357	5716
74	3417	5695
75	3463	5651
76	3507	5602
77	3556	5562
78	3604	5521
79	3647	5470
80	3689	5419
81	3740	5382
82	3788	5340
83	3850	5316
84	3907	5286
85	3950	5236
86	4021	5223
87	4066	5175
88	4108	5123
89	4146	5068
90	4187	5015
91	4234	4970
92	4285	4930
93	4324	4876
94	4358	4817
95	4420	4789
96	4465	4741
97	4504	4688
98	4550	4641
99	4595	4595
100	4643	4551
101	4679	4496
102	4725	4450
103	4782	4414
104	4829	4369
105	4873	4321
106	4918	4274
107	4960	4225
108	5001	4175
109	5051	4132
110	5091	4082
111	5130	4030
112	5197	4001
113	5241	3954
114	5281	3904
115	5337	3865
116	5379	3816
117	5423	3769
118	5464	3719
119	5516	3677
120	5558	3629
121	5603	3582
122	5648	3536
123	5706	3497
124	5752	3451
125	5802	3407
126	5847	3361
127	5892	3314
128	5936	3267
129	5979	3219
130	6024	3173
131	6067	3125
132	6112	3079
133	6155	3031
134	6200	2985
135	6239	2936
136	6290	2892
137	6338	2847
138	6383	2801
139	6427	2754
140	6487	2714
141	6533	2668
142	6583	2624
143	6627	2577
144	6679	2533
145	6723	2486
146	6768	2440
147	6808	2392
148	6852	2345
149	6887	2295
150	6932	2249
151	6976	2203
152	7022	2157
153	7066	2110
154	7120	2067
155	7167	2021
156	7233	1981
157	7282	1935
158	7330	1890
159	7380	1845
160	7423	1798
161	7483	1755
162	7522	1707
163	7571	1662
164	7615	1615
165	7657	1568
166	7711	1523
167	7760	1478
168	7806	1431
169	7851	1385
170	7925	1344
171	7995	1301
172	8049	1256
173	8087	1208
174	8131	1161
175	8171	1114
176	8223	1068
177	8262	1021
178	8310	974
179	8356	928
180	8460	888
181	8520	842
182	8578	796
183	8652	752
184	8711	706
185	8772	660
186	8837	614
187	8883	567
188	8921	519
189	8964	471
190	9020	425
191	9054	377
192	9100	330
193	9166	283
194	9222	236
195	9267	189
196	9312	141
197	9355	94
198	9432	47
199	9501	0
